=== Validation Loss Summary ===

--- baseline ---
Step     0: 10.8544
Step   500: 4.0036
Step  1000: 3.4095
Step  1500: 3.0856
Step  2000: 2.8888
Step  2500: 2.7490
Step  3000: 2.6378
Step  3500: 2.5560
Step  4000: 2.4891
Step  4500: 2.4300
Step  5000: 2.3852

--- both_bw1024 ---
Step     0: 10.8544
Step   500: 4.0032
Step  1000: 3.4081
Step  1500: 3.0844
Step  2000: 2.8863
Step  2500: 2.7471
Step  3000: 2.6366
Step  3500: 2.5563
Step  4000: 2.4893
Step  4500: 2.4304
Step  5000: 2.3844

--- both_bw256 ---
Step     0: 10.8544
Step   500: 4.1009
Step  1000: 3.4815
Step  1500: 3.1468
Step  2000: 2.9447
Step  2500: 2.7965
Step  3000: 2.6855
Step  3500: 2.5960
Step  4000: 2.5311
Step  4500: 2.4668
Step  5000: 2.4157

--- both_bw512 ---
Step     0: 10.8544
Step   500: 4.0322
Step  1000: 3.4198
Step  1500: 3.0902
Step  2000: 2.8871
Step  2500: 2.7436
Step  3000: 2.6317
Step  3500: 2.5503
Step  4000: 2.4831
Step  4500: 2.4260
Step  5000: 2.3658

--- fc1_bw1024 ---
Step     0: 10.8544
Step   500: 4.0037
Step  1000: 3.4094
Step  1500: 3.0857
Step  2000: 2.8889
Step  2500: 2.7491
Step  3000: 2.6379
Step  3500: 2.5561
Step  4000: 2.4897
Step  4500: 2.4303
Step  5000: 2.3854

--- fc1_bw256 ---
Step     0: 10.8544
Step   500: 4.0441
Step  1000: 3.4421
Step  1500: 3.1415
Step  2000: 2.9331
Step  2500: 2.7852
Step  3000: 2.6791
Step  3500: 2.5897
Step  4000: 2.5183
Step  4500: 2.4599
Step  5000: 2.4107

--- fc1_bw512 ---
Step     0: 10.8544
Step   500: 4.0165
Step  1000: 3.4158
Step  1500: 3.0974
Step  2000: 2.8956
Step  2500: 2.7566
Step  3000: 2.6501
Step  3500: 2.5715
Step  4000: 2.5078
Step  4500: 2.4424
Step  5000: 2.3915

--- fc2_bw1024 ---
Step     0: 10.8544
Step   500: 4.0035
Step  1000: 3.4095
Step  1500: 3.0855
Step  2000: 2.8886
Step  2500: 2.7488
Step  3000: 2.6377
Step  3500: 2.5559
Step  4000: 2.4888
Step  4500: 2.4299
Step  5000: 2.3851

--- fc2_bw256 ---
Step     0: 10.8544
Step   500: 4.0349
Step  1000: 3.4087
Step  1500: 3.0603
Step  2000: 2.8521
Step  2500: 2.7016
Step  3000: 2.5905
Step  3500: 2.5084
Step  4000: 2.4326
Step  4500: 2.3799
Step  5000: 2.3269

--- fc2_bw512 ---
Step     0: 10.8544
Step   500: 4.0155
Step  1000: 3.3967
Step  1500: 3.0576
Step  2000: 2.8543
Step  2500: 2.7093
Step  3000: 2.5949
Step  3500: 2.5081
Step  4000: 2.4420
Step  4500: 2.3870
Step  5000: 2.3329

=== CSV Format (for easy copy-paste) ===
config,step,val_loss
baseline,0,10.8544
baseline,500,4.0036
baseline,1000,3.4095
baseline,1500,3.0856
baseline,2000,2.8888
baseline,2500,2.7490
baseline,3000,2.6378
baseline,3500,2.5560
baseline,4000,2.4891
baseline,4500,2.4300
baseline,5000,2.3852
both_bw1024,0,10.8544
both_bw1024,500,4.0032
both_bw1024,1000,3.4081
both_bw1024,1500,3.0844
both_bw1024,2000,2.8863
both_bw1024,2500,2.7471
both_bw1024,3000,2.6366
both_bw1024,3500,2.5563
both_bw1024,4000,2.4893
both_bw1024,4500,2.4304
both_bw1024,5000,2.3844
both_bw256,0,10.8544
both_bw256,500,4.1009
both_bw256,1000,3.4815
both_bw256,1500,3.1468
both_bw256,2000,2.9447
both_bw256,2500,2.7965
both_bw256,3000,2.6855
both_bw256,3500,2.5960
both_bw256,4000,2.5311
both_bw256,4500,2.4668
both_bw256,5000,2.4157
both_bw512,0,10.8544
both_bw512,500,4.0322
both_bw512,1000,3.4198
both_bw512,1500,3.0902
both_bw512,2000,2.8871
both_bw512,2500,2.7436
both_bw512,3000,2.6317
both_bw512,3500,2.5503
both_bw512,4000,2.4831
both_bw512,4500,2.4260
both_bw512,5000,2.3658
fc1_bw1024,0,10.8544
fc1_bw1024,500,4.0037
fc1_bw1024,1000,3.4094
fc1_bw1024,1500,3.0857
fc1_bw1024,2000,2.8889
fc1_bw1024,2500,2.7491
fc1_bw1024,3000,2.6379
fc1_bw1024,3500,2.5561
fc1_bw1024,4000,2.4897
fc1_bw1024,4500,2.4303
fc1_bw1024,5000,2.3854
fc1_bw256,0,10.8544
fc1_bw256,500,4.0441
fc1_bw256,1000,3.4421
fc1_bw256,1500,3.1415
fc1_bw256,2000,2.9331
fc1_bw256,2500,2.7852
fc1_bw256,3000,2.6791
fc1_bw256,3500,2.5897
fc1_bw256,4000,2.5183
fc1_bw256,4500,2.4599
fc1_bw256,5000,2.4107
fc1_bw512,0,10.8544
fc1_bw512,500,4.0165
fc1_bw512,1000,3.4158
fc1_bw512,1500,3.0974
fc1_bw512,2000,2.8956
fc1_bw512,2500,2.7566
fc1_bw512,3000,2.6501
fc1_bw512,3500,2.5715
fc1_bw512,4000,2.5078
fc1_bw512,4500,2.4424
fc1_bw512,5000,2.3915
fc2_bw1024,0,10.8544
fc2_bw1024,500,4.0035
fc2_bw1024,1000,3.4095
fc2_bw1024,1500,3.0855
fc2_bw1024,2000,2.8886
fc2_bw1024,2500,2.7488
fc2_bw1024,3000,2.6377
fc2_bw1024,3500,2.5559
fc2_bw1024,4000,2.4888
fc2_bw1024,4500,2.4299
fc2_bw1024,5000,2.3851
fc2_bw256,0,10.8544
fc2_bw256,500,4.0349
fc2_bw256,1000,3.4087
fc2_bw256,1500,3.0603
fc2_bw256,2000,2.8521
fc2_bw256,2500,2.7016
fc2_bw256,3000,2.5905
fc2_bw256,3500,2.5084
fc2_bw256,4000,2.4326
fc2_bw256,4500,2.3799
fc2_bw256,5000,2.3269
fc2_bw512,0,10.8544
fc2_bw512,500,4.0155
fc2_bw512,1000,3.3967
fc2_bw512,1500,3.0576
fc2_bw512,2000,2.8543
fc2_bw512,2500,2.7093
fc2_bw512,3000,2.5949
fc2_bw512,3500,2.5081
fc2_bw512,4000,2.4420
fc2_bw512,4500,2.3870
fc2_bw512,5000,2.3329
